Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chainstore,100,0.7,default,1,15754,1,2,3,1028.00,2012.98,536.00,464.00,0.00,100
Chainstore,100,0.7,default,2,15933,1,2,3,1060.00,2044.52,563.58,464.00,0.00,100
Chainstore,100,0.7,default,3,15832,1,2,3,1092.00,2076.74,659.64,60.36,0.00,100
Chainstore,100,0.7,default,4,17385,1,2,3,1072.00,2057.20,571.58,464.00,0.00,100
Chainstore,100,0.7,default,5,15990,1,2,3,1078.00,2062.15,571.79,464.00,0.00,100
Chainstore,100,0.7,onlyPhase1,1,14148,1,2,3,1082.00,2065.89,901.58,44.73,0.00,100
Chainstore,100,0.7,onlyPhase1,2,14504,1,2,3,1306.00,2289.97,614.00,460.00,0.00,100
Chainstore,100,0.7,onlyPhase1,3,14049,1,2,3,1086.00,2070.65,443.23,460.00,0.00,100
Chainstore,100,0.7,onlyPhase1,4,13929,1,2,3,1074.00,2059.01,902.00,58.46,0.00,100
Chainstore,100,0.7,onlyPhase1,5,14004,1,2,3,1100.00,2084.18,886.00,70.50,0.00,100
Chainstore,100,0.7,onlyClosure,1,16975,1,2,3,1150.00,2134.12,551.73,4.13,0.00,100
Chainstore,100,0.7,onlyClosure,2,16819,1,2,3,1504.00,2487.97,573.79,892.00,0.00,100
Chainstore,100,0.7,onlyClosure,3,16794,1,2,3,1532.00,2516.52,600.00,892.00,0.00,100
Chainstore,100,0.7,onlyClosure,4,16834,1,2,3,1542.00,2526.48,607.71,892.00,0.00,100
Chainstore,100,0.7,onlyClosure,5,16693,1,2,3,1496.00,2480.25,571.43,892.00,0.00,100
Chainstore,100,0.7,onlySupport,1,13917,1,2,3,1074.00,2059.06,537.73,96.27,0.00,100
Chainstore,100,0.7,onlySupport,2,13574,1,2,3,1038.00,2022.41,546.00,464.00,0.00,100
Chainstore,100,0.7,onlySupport,3,13525,1,2,3,1090.00,2074.82,587.79,460.00,0.00,100
Chainstore,100,0.7,onlySupport,4,13244,1,2,3,1062.00,2046.73,562.00,464.00,0.00,100
Chainstore,100,0.7,onlySupport,5,13680,1,2,3,1154.00,2138.27,418.00,460.00,0.00,100
Chainstore,200,0.7,default,1,19093,1,2,3,1602.00,2586.58,542.00,1028.00,0.00,200
Chainstore,200,0.7,default,2,18970,1,2,3,1604.00,2588.28,547.71,1028.00,0.00,200
Chainstore,200,0.7,default,3,19155,1,2,3,1574.00,2558.60,522.00,1028.00,0.00,200
Chainstore,200,0.7,default,4,18954,1,2,3,1618.00,2601.95,557.58,1024.00,0.00,200
