Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chess,100,0.7,default,1,5154,1,2,3,580.00,592.29,16.00,388.00,24.00,100
Chess,100,0.7,default,2,5218,1,2,3,580.00,592.29,16.00,388.00,24.00,100
Chess,100,0.7,default,3,5074,1,2,3,583.05,595.34,16.00,388.00,20.95,100
Chess,100,0.7,default,4,5211,1,2,3,579.19,591.48,16.00,388.00,24.81,100
Chess,100,0.7,default,5,5071,1,2,3,580.00,592.29,16.00,388.00,24.00,100
Chess,100,0.7,onlyPhase1,1,5024,1,2,3,580.00,592.29,24.00,37.22,322.78,100
Chess,100,0.7,onlyPhase1,2,5154,1,2,3,581.04,593.34,24.00,36.71,328.33,100
Chess,100,0.7,onlyPhase1,3,5071,1,2,3,580.00,592.29,24.00,37.23,322.77,100
Chess,100,0.7,onlyPhase1,4,5127,1,2,3,579.09,591.39,24.00,37.32,321.77,100
Chess,100,0.7,onlyPhase1,5,5107,1,2,3,580.00,592.29,24.00,36.80,327.20,100
Chess,100,0.7,onlyClosure,1,1835,1,2,3,579.09,591.38,16.00,48.58,334.50,100
Chess,100,0.7,onlyClosure,2,1891,1,2,3,578.07,590.36,16.00,45.45,332.62,100
Chess,100,0.7,onlyClosure,3,1849,1,2,3,579.10,591.39,16.00,49.06,326.04,100
Chess,100,0.7,onlyClosure,4,1943,1,2,3,577.03,589.32,16.00,52.67,324.35,100
Chess,100,0.7,onlyClosure,5,1818,1,2,3,578.09,590.38,16.00,44.61,337.48,100
Chess,100,0.7,onlySupport,1,4295,1,2,3,577.03,589.33,20.00,48.06,336.96,100
Chess,100,0.7,onlySupport,2,4257,1,2,3,577.03,589.34,24.00,44.25,332.78,100
Chess,100,0.7,onlySupport,3,4274,1,2,3,577.04,589.34,24.00,41.41,335.63,100
Chess,100,0.7,onlySupport,4,4293,1,2,3,578.00,590.30,24.00,40.78,341.22,100
Chess,100,0.7,onlySupport,5,4296,1,2,3,577.02,589.33,24.00,44.16,336.87,100
Chess,200,0.7,default,1,8549,1,2,3,751.97,764.27,16.00,388.00,127.97,200
Chess,200,0.7,default,2,8596,1,2,3,756.00,768.29,16.00,388.00,132.00,200
Chess,200,0.7,default,3,8582,1,2,3,753.32,765.62,16.00,388.00,129.32,200
Chess,200,0.7,default,4,8488,1,2,3,759.32,771.62,16.00,388.00,135.32,200
Chess,200,0.7,default,5,8685,1,2,3,759.33,771.63,16.00,388.00,135.33,200
Chess,200,0.7,onlyPhase1,1,8721,1,2,3,750.62,762.91,24.00,36.69,477.93,200
Chess,200,0.7,onlyPhase1,2,8406,1,2,3,751.97,764.26,24.00,37.10,478.86,200
Chess,200,0.7,onlyPhase1,3,8605,1,2,3,752.00,764.29,24.00,36.98,479.02,200
Chess,200,0.7,onlyPhase1,4,8530,1,2,3,754.63,766.92,24.00,36.62,482.01,200
Chess,200,0.7,onlyPhase1,5,8479,1,2,3,753.33,765.62,24.00,37.06,480.27,200
Chess,200,0.7,onlyClosure,1,3382,1,2,3,754.61,766.91,16.00,52.69,497.93,200
Chess,200,0.7,onlyClosure,2,3424,1,2,3,753.31,765.60,16.00,48.65,500.66,200
Chess,200,0.7,onlyClosure,3,3371,1,2,3,753.30,765.60,16.00,45.58,499.72,200
Chess,200,0.7,onlyClosure,4,3387,1,2,3,751.90,764.20,16.00,44.80,507.10,200
Chess,200,0.7,onlyClosure,5,3545,1,2,3,747.93,760.23,16.00,48.65,499.29,200
Chess,200,0.7,onlySupport,1,7286,1,2,3,751.30,763.60,24.00,41.10,518.20,200
Chess,200,0.7,onlySupport,2,7230,1,2,3,754.55,766.85,24.00,44.41,510.14,200
Chess,200,0.7,onlySupport,3,7213,1,2,3,747.92,760.22,24.00,44.45,507.47,200
Chess,200,0.7,onlySupport,4,7225,1,2,3,749.30,761.60,24.00,44.46,504.83,200
Chess,200,0.7,onlySupport,5,7486,1,2,3,751.29,763.59,20.00,44.14,511.15,200
Chess,300,0.7,default,1,10606,1,2,3,876.00,888.29,16.00,388.00,248.00,300
Chess,300,0.7,default,2,10521,1,2,3,874.70,887.00,16.00,388.00,246.70,300
Chess,300,0.7,default,3,10461,1,2,3,878.68,890.97,16.00,388.00,250.68,300
Chess,300,0.7,default,4,10482,1,2,3,876.00,888.29,16.00,388.00,248.00,300
Chess,300,0.7,default,5,10480,1,2,3,872.00,884.29,16.00,388.00,244.00,300
Chess,300,0.7,onlyPhase1,1,10444,1,2,3,876.00,888.29,28.00,36.06,599.94,300
Chess,300,0.7,onlyPhase1,2,10464,1,2,3,873.34,885.63,24.00,37.36,595.98,300
Chess,300,0.7,onlyPhase1,3,10403,1,2,3,874.67,886.96,24.00,37.33,597.33,300
Chess,300,0.7,onlyPhase1,4,10414,1,2,3,876.00,888.29,28.00,36.30,599.70,300
Chess,300,0.7,onlyPhase1,5,10518,1,2,3,876.00,888.29,24.00,36.50,599.50,300
Chess,300,0.7,onlyClosure,1,3792,1,2,3,867.33,879.62,16.00,48.65,622.68,300
Chess,300,0.7,onlyClosure,2,3737,1,2,3,868.00,880.29,16.00,48.91,619.09,300
