Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Kosarak,5,0.7,default,1,426306,1,2,3,984.00,1928.44,595.54,111.54,56.00,5
Kosarak,5,0.7,default,2,437966,1,2,3,992.00,1936.42,613.68,113.68,56.00,5
Kosarak,5,0.7,default,3,441032,1,2,3,996.00,1939.60,743.39,95.39,52.00,5
Kosarak,5,0.7,default,4,432276,1,2,3,1172.00,2116.69,757.46,304.00,56.00,5
Kosarak,5,0.7,default,5,429294,1,2,3,1043.40,1988.61,621.07,304.00,56.00,5
Kosarak,5,0.7,onlyPhase1,1,429220,1,2,3,960.00,1902.83,509.42,304.00,52.00,5
Kosarak,5,0.7,onlyPhase1,2,427521,1,2,3,1002.00,1946.86,354.46,308.00,52.00,5
Kosarak,5,0.7,onlyPhase1,3,427852,1,2,3,994.00,1938.72,362.00,304.00,56.00,5
Kosarak,5,0.7,onlyPhase1,4,427587,1,2,3,986.00,1930.37,378.45,308.00,52.00,5
Kosarak,5,0.7,onlyPhase1,5,440463,1,2,3,994.00,1937.39,426.00,308.00,52.00,5
Kosarak,5,0.7,onlyClosure,1,445040,1,2,3,1020.00,1963.45,603.39,119.39,52.00,5
Kosarak,5,0.7,onlyClosure,2,427084,1,2,3,1035.38,1980.48,593.08,328.00,52.00,5
Kosarak,5,0.7,onlyClosure,3,429777,1,2,3,995.63,1939.54,547.15,332.00,52.00,5
Kosarak,5,0.7,onlyClosure,4,428320,1,2,3,999.42,1942.41,553.09,332.00,52.00,5
Kosarak,5,0.7,onlyClosure,5,436833,1,2,3,1000.00,1945.19,593.15,97.15,56.00,5
Kosarak,5,0.7,onlySupport,1,330508,1,2,3,1020.00,1964.29,605.41,137.41,56.00,5
Kosarak,5,0.7,onlySupport,2,332220,1,2,3,1016.00,1959.13,638.00,126.00,56.00,5
Kosarak,5,0.7,onlySupport,3,329868,1,2,3,1030.00,1973.39,574.83,144.83,52.00,5
Kosarak,5,0.7,onlySupport,4,329729,1,2,3,1010.00,1952.99,637.06,123.06,56.00,5
