Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Mushrooms,100,0.7,default,1,5314,1,2,3,576.00,595.28,28.00,40.89,147.11,100
Mushrooms,100,0.7,default,2,5441,1,2,3,578.00,597.28,28.00,39.28,150.72,100
Mushrooms,100,0.7,default,3,5362,1,2,3,576.00,595.28,28.00,39.52,148.48,100
Mushrooms,100,0.7,default,4,5503,1,2,3,575.06,594.35,28.00,39.51,147.55,100
Mushrooms,100,0.7,default,5,5723,1,2,3,575.06,594.35,28.00,39.33,147.73,100
Mushrooms,100,0.7,onlyPhase1,1,5223,1,2,3,576.00,595.28,32.00,43.14,144.86,100
Mushrooms,100,0.7,onlyPhase1,2,5198,1,2,3,576.00,595.28,36.00,38.95,145.05,100
Mushrooms,100,0.7,onlyPhase1,3,5276,1,2,3,576.00,595.28,36.00,39.04,148.96,100
Mushrooms,100,0.7,onlyPhase1,4,5192,1,2,3,575.02,594.31,32.00,42.75,144.27,100
Mushrooms,100,0.7,onlyPhase1,5,5220,1,2,3,576.00,595.28,32.00,44.63,143.38,100
Mushrooms,100,0.7,onlyClosure,1,2561,1,2,3,572.00,591.28,28.00,57.81,150.19,100
Mushrooms,100,0.7,onlyClosure,2,2613,1,2,3,576.00,595.28,28.00,53.91,150.09,100
Mushrooms,100,0.7,onlyClosure,3,2550,1,2,3,572.00,591.28,28.00,49.88,150.12,100
Mushrooms,100,0.7,onlyClosure,4,2585,1,2,3,573.99,593.27,28.00,54.28,155.71,100
Mushrooms,100,0.7,onlyClosure,5,2538,1,2,3,574.00,593.28,28.00,50.10,151.90,100
Mushrooms,100,0.7,onlySupport,1,4452,1,2,3,575.99,595.29,36.00,45.66,162.33,100
Mushrooms,100,0.7,onlySupport,2,4380,1,2,3,570.96,590.26,36.00,45.72,153.24,100
Mushrooms,100,0.7,onlySupport,3,4444,1,2,3,574.99,594.28,36.00,45.68,157.31,100
Mushrooms,100,0.7,onlySupport,4,4444,1,2,3,576.00,595.29,36.00,41.90,158.10,100
Mushrooms,100,0.7,onlySupport,5,4635,1,2,3,572.00,591.29,36.00,45.83,154.17,100
Mushrooms,200,0.7,default,1,7903,1,2,3,694.61,713.89,28.00,43.67,302.93,200
Mushrooms,200,0.7,default,2,7933,1,2,3,695.32,714.60,28.00,43.30,304.02,200
Mushrooms,200,0.7,default,3,7792,1,2,3,692.00,711.28,28.00,43.60,300.40,200
Mushrooms,200,0.7,default,4,7731,1,2,3,695.96,715.24,28.00,43.98,303.98,200
Mushrooms,200,0.7,default,5,7796,1,2,3,699.31,718.60,28.00,44.00,307.31,200
Mushrooms,200,0.7,onlyPhase1,1,7570,1,2,3,693.33,712.61,36.00,42.21,303.11,200
Mushrooms,200,0.7,onlyPhase1,2,7686,1,2,3,692.00,711.28,32.00,46.78,297.22,200
Mushrooms,200,0.7,onlyPhase1,3,7611,1,2,3,693.30,712.58,36.00,42.50,302.79,200
Mushrooms,200,0.7,onlyPhase1,4,7608,1,2,3,693.29,712.57,32.00,47.01,298.28,200
Mushrooms,200,0.7,onlyPhase1,5,7715,1,2,3,693.30,712.59,32.00,47.03,298.27,200
Mushrooms,200,0.7,onlyClosure,1,3722,1,2,3,691.86,711.14,28.00,50.42,321.44,200
Mushrooms,200,0.7,onlyClosure,2,3676,1,2,3,694.00,713.28,28.00,54.74,319.26,200
Mushrooms,200,0.7,onlyClosure,3,3726,1,2,3,689.28,708.57,28.00,54.46,318.82,200
Mushrooms,200,0.7,onlyClosure,4,3698,1,2,3,690.58,709.86,28.00,53.95,316.63,200
Mushrooms,200,0.7,onlyClosure,5,3664,1,2,3,691.29,710.58,28.00,54.08,321.21,200
Mushrooms,200,0.7,onlySupport,1,6505,1,2,3,688.00,707.29,36.00,49.76,326.24,200
Mushrooms,200,0.7,onlySupport,2,6728,1,2,3,691.29,710.59,36.00,50.37,320.92,200
