Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Pumsb,5,0.7,default,1,44717,1,2,3,416.00,759.24,244.00,104.00,0.00,5
Pumsb,5,0.7,default,2,44821,1,2,3,415.76,759.07,243.76,104.00,0.00,5
Pumsb,5,0.7,default,3,44719,1,2,3,416.00,759.19,244.00,104.00,0.00,5
Pumsb,5,0.7,default,4,44629,1,2,3,416.00,759.33,244.00,104.00,0.00,5
Pumsb,5,0.7,default,5,44795,1,2,3,416.00,759.41,244.00,104.00,0.00,5
Pumsb,5,0.7,onlyPhase1,1,36426,1,2,3,417.25,760.49,253.25,104.00,0.00,5
Pumsb,5,0.7,onlyPhase1,2,36346,1,2,3,416.00,759.28,248.00,104.00,0.00,5
Pumsb,5,0.7,onlyPhase1,3,36020,1,2,3,418.52,761.85,254.52,104.00,0.00,5
Pumsb,5,0.7,onlyPhase1,4,36041,1,2,3,416.00,759.12,248.00,104.00,0.00,5
Pumsb,5,0.7,onlyPhase1,5,36201,1,2,3,419.04,762.30,251.04,104.00,0.00,5
Pumsb,5,0.7,onlyClosure,1,44756,1,2,3,416.00,759.14,244.00,116.00,0.00,5
Pumsb,5,0.7,onlyClosure,2,44906,1,2,3,416.00,759.11,244.00,112.00,0.00,5
Pumsb,5,0.7,onlyClosure,3,44616,1,2,3,416.00,759.27,244.00,116.00,0.00,5
Pumsb,5,0.7,onlyClosure,4,44929,1,2,3,416.00,759.39,244.00,112.00,0.00,5
Pumsb,5,0.7,onlyClosure,5,44713,1,2,3,416.00,759.11,244.00,116.00,0.00,5
Pumsb,5,0.7,onlySupport,1,35582,1,2,3,416.00,759.66,260.00,108.00,0.00,5
Pumsb,5,0.7,onlySupport,2,35593,1,2,3,417.26,760.47,261.26,100.00,0.00,5
Pumsb,5,0.7,onlySupport,3,35931,1,2,3,416.00,759.32,260.00,104.00,0.00,5
Pumsb,5,0.7,onlySupport,4,35817,1,2,3,416.00,759.13,260.00,104.00,0.00,5
Pumsb,5,0.7,onlySupport,5,35966,1,2,3,416.00,759.28,260.00,104.00,0.00,5
Pumsb,10,0.7,default,1,74323,1,2,3,432.00,775.12,244.00,84.00,0.00,10
Pumsb,10,0.7,default,2,73956,1,2,3,432.66,775.88,244.00,84.66,0.00,10
Pumsb,10,0.7,default,3,73646,1,2,3,432.00,775.12,244.00,84.00,0.00,10
Pumsb,10,0.7,default,4,74000,1,2,3,432.00,775.56,244.00,84.00,0.00,10
