Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Retail,100,0.7,default,1,3328,1,2,3,300.00,407.40,176.00,104.00,20.00,100
Retail,100,0.7,default,2,3291,1,2,3,300.00,407.40,176.00,104.00,20.00,100
Retail,100,0.7,default,3,3262,1,2,3,304.00,411.40,176.00,104.00,24.00,100
Retail,100,0.7,default,4,3249,1,2,3,300.00,407.40,176.00,104.00,20.00,100
Retail,100,0.7,default,5,3271,1,2,3,300.00,407.40,176.00,104.00,20.00,100
Retail,100,0.7,onlyPhase1,1,3413,1,2,3,312.00,419.44,188.00,104.00,20.00,100
Retail,100,0.7,onlyPhase1,2,3663,1,2,3,308.00,415.40,184.00,104.00,20.00,100
Retail,100,0.7,onlyPhase1,3,3483,1,2,3,308.00,415.40,184.00,104.00,20.00,100
Retail,100,0.7,onlyPhase1,4,3409,1,2,3,312.00,419.40,188.00,104.00,20.00,100
Retail,100,0.7,onlyPhase1,5,3206,1,2,3,308.00,415.40,180.00,104.00,24.00,100
Retail,100,0.7,onlyClosure,1,3455,1,2,3,477.33,584.74,176.00,78.67,24.00,100
Retail,100,0.7,onlyClosure,2,3422,1,2,3,479.69,587.10,176.00,224.00,312.31,100
Retail,100,0.7,onlyClosure,3,3446,1,2,3,477.59,584.99,176.00,78.41,24.00,100
Retail,100,0.7,onlyClosure,4,3464,1,2,3,477.59,584.99,176.00,74.41,20.00,100
Retail,100,0.7,onlyClosure,5,3467,1,2,3,476.80,584.20,176.00,71.20,20.00,100
Retail,100,0.7,onlySupport,1,2876,1,2,3,308.00,415.41,188.00,104.00,16.00,100
Retail,100,0.7,onlySupport,2,2859,1,2,3,308.00,415.41,184.00,108.00,16.00,100
Retail,100,0.7,onlySupport,3,2850,1,2,3,312.00,419.41,184.00,108.00,20.00,100
Retail,100,0.7,onlySupport,4,2829,1,2,3,308.00,415.41,188.00,100.00,20.00,100
Retail,100,0.7,onlySupport,5,2833,1,2,3,308.00,415.41,184.00,108.00,16.00,100
Retail,200,0.7,default,1,4143,1,2,3,505.07,612.47,176.00,196.00,266.93,200
Retail,200,0.7,default,2,4078,1,2,3,503.70,611.15,176.00,196.00,268.30,200
Retail,200,0.7,default,3,4217,1,2,3,503.68,611.09,176.00,200.00,272.32,200
Retail,200,0.7,default,4,4173,1,2,3,504.53,611.93,176.00,196.00,267.47,200
Retail,200,0.7,default,5,4150,1,2,3,504.53,611.96,176.00,196.00,267.47,200
Retail,200,0.7,onlyPhase1,1,4141,1,2,3,504.53,611.93,184.00,200.00,271.47,200
Retail,200,0.7,onlyPhase1,2,4311,1,2,3,504.00,611.40,184.00,196.00,272.00,200
Retail,200,0.7,onlyPhase1,3,4367,1,2,3,503.70,611.10,188.00,196.00,272.30,200
Retail,200,0.7,onlyPhase1,4,4306,1,2,3,504.00,611.40,188.00,196.00,272.00,200
Retail,200,0.7,onlyPhase1,5,4334,1,2,3,504.53,611.95,188.00,196.00,271.47,200
Retail,200,0.7,onlyClosure,1,4363,1,2,3,479.98,587.38,176.00,95.98,40.00,200
Retail,200,0.7,onlyClosure,2,4337,1,2,3,476.53,583.93,180.00,168.53,40.00,200
Retail,200,0.7,onlyClosure,3,4379,1,2,3,477.10,584.50,176.00,169.10,40.00,200
Retail,200,0.7,onlyClosure,4,4300,1,2,3,477.07,584.47,176.00,165.07,40.00,200
Retail,200,0.7,onlyClosure,5,4361,1,2,3,479.18,586.58,176.00,95.18,40.00,200
Retail,200,0.7,onlySupport,1,3699,1,2,3,504.53,611.94,184.00,200.00,267.47,200
Retail,200,0.7,onlySupport,2,3734,1,2,3,504.00,611.41,184.00,196.00,260.00,200
Retail,200,0.7,onlySupport,3,3722,1,2,3,504.00,611.41,188.00,192.00,264.00,200
Retail,200,0.7,onlySupport,4,3768,1,2,3,504.00,611.41,184.00,200.00,264.00,200
Retail,200,0.7,onlySupport,5,3729,1,2,3,505.06,612.48,188.00,192.00,262.94,200
