Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chainstore,5,0.7,direct,1,22528,1,2,3,524.00,1508.41,520.00,4.00,0.00,5
Chainstore,5,0.7,direct,2,22795,1,2,3,528.00,1512.92,524.00,4.00,0.00,5
Chainstore,5,0.7,direct,3,22753,1,2,3,524.00,1508.95,520.00,4.00,0.00,5
Chainstore,5,0.7,recursive,1,13282,1,2,3,944.00,1928.17,904.00,8.00,0.00,5
Chainstore,5,0.7,recursive,2,13168,1,2,3,866.00,1850.30,527.79,8.00,0.00,5
Chainstore,5,0.7,recursive,3,13211,1,2,3,880.00,1864.78,508.00,8.00,0.00,5
Chainstore,5,0.7,parallel,1,10925,1,2,3,882.00,1866.50,549.58,12.00,0.00,5
Chainstore,5,0.7,parallel,2,10823,1,2,3,852.00,1836.75,556.00,16.00,0.00,5
Chainstore,5,0.7,parallel,3,10947,1,2,3,862.00,1846.19,540.00,8.00,0.00,5
Chainstore,5,0.7,fft,1,84407,1,2,3,5150.90,6135.76,2438.90,680.00,0.00,5
Chainstore,5,0.7,fft,2,87397,1,2,3,5158.88,6143.30,2454.88,684.00,0.00,5
Chainstore,5,0.7,fft,3,87070,1,2,3,5156.91,6140.76,2404.91,684.00,0.00,5
Chainstore,5,0.7,parallelfft,1,70175,1,2,3,5154.88,6139.65,2610.88,684.00,0.00,5
Chainstore,5,0.7,parallelfft,2,68096,1,2,3,5154.88,6140.13,2614.88,684.00,0.00,5
Chainstore,5,0.7,parallelfft,3,67533,1,2,3,5154.87,6139.56,2610.87,688.00,0.00,5
Chainstore,10,0.7,direct,1,23042,1,2,3,536.00,1520.89,524.00,12.00,0.00,10
Chainstore,10,0.7,direct,2,22991,1,2,3,532.00,1516.64,520.00,12.00,0.00,10
Chainstore,10,0.7,direct,3,22997,1,2,3,536.00,1520.62,524.00,12.00,0.00,10
Chainstore,10,0.7,recursive,1,13220,1,2,3,882.00,1866.57,511.86,24.00,0.00,10
Chainstore,10,0.7,recursive,2,13268,1,2,3,858.00,1842.67,529.58,24.00,0.00,10
Chainstore,10,0.7,recursive,3,13281,1,2,3,850.00,1834.23,541.58,24.00,0.00,10
Chainstore,10,0.7,parallel,1,11007,1,2,3,870.00,1854.73,535.79,28.00,0.00,10
Chainstore,10,0.7,parallel,2,11025,1,2,3,846.00,1830.81,559.79,28.00,0.00,10
Chainstore,10,0.7,parallel,3,11111,1,2,3,870.00,1854.36,531.86,20.00,0.00,10
Chainstore,10,0.7,fft,1,86050,1,2,3,5154.88,6139.96,2422.88,1872.00,0.00,10
Chainstore,10,0.7,fft,2,86497,1,2,3,5162.89,6147.52,2502.89,1872.00,0.00,10
Chainstore,10,0.7,fft,3,86598,1,2,3,5156.88,6141.27,2464.88,1872.00,0.00,10
Chainstore,10,0.7,parallelfft,1,68600,1,2,3,5152.88,6137.59,2628.88,1872.00,0.00,10
Chainstore,10,0.7,parallelfft,2,68027,1,2,3,5154.87,6139.67,2618.87,1872.00,0.00,10
Chainstore,10,0.7,parallelfft,3,68195,1,2,3,5156.87,6141.52,2600.87,1872.00,0.00,10
Chainstore,15,0.7,direct,1,22991,1,2,3,544.00,1528.92,524.00,20.00,0.00,15
Chainstore,15,0.7,direct,2,23096,1,2,3,540.00,1524.35,520.00,20.00,0.00,15
Chainstore,15,0.7,direct,3,23109,1,2,3,540.00,1524.93,520.00,20.00,0.00,15
Chainstore,15,0.7,recursive,1,13486,1,2,3,874.00,1858.02,510.00,40.00,0.00,15
Chainstore,15,0.7,recursive,2,13378,1,2,3,886.00,1870.78,497.73,40.00,0.00,15
Chainstore,15,0.7,recursive,3,13352,1,2,3,884.00,1869.26,507.86,40.00,0.00,15
Chainstore,15,0.7,parallel,1,11004,1,2,3,884.00,1867.97,528.00,36.00,0.00,15
Chainstore,15,0.7,parallel,2,11039,1,2,3,852.00,1836.99,555.59,44.00,0.00,15
Chainstore,15,0.7,parallel,3,12159,1,2,3,876.00,1860.41,532.00,44.00,0.00,15
Chainstore,15,0.7,fft,1,87495,1,2,3,5325.26,6309.80,2430.90,1545.64,0.00,15
Chainstore,15,0.7,fft,2,87300,1,2,3,5329.25,6313.98,2452.88,1543.63,0.00,15
Chainstore,15,0.7,fft,3,86685,1,2,3,5327.25,6312.33,2426.89,1543.65,0.00,15
Chainstore,15,0.7,parallelfft,1,69585,1,2,3,5329.24,6313.71,2608.89,1539.65,0.00,15
Chainstore,15,0.7,parallelfft,2,68551,1,2,3,5325.24,6309.76,2588.88,1539.64,0.00,15
Chainstore,15,0.7,parallelfft,3,71568,1,2,3,5333.24,6317.68,2656.88,1535.64,0.00,15
Chainstore,20,0.7,direct,1,23203,1,2,3,552.00,1536.68,524.00,28.00,0.00,20
Chainstore,20,0.7,direct,2,23242,1,2,3,552.00,1537.23,524.00,28.00,0.00,20
Chainstore,20,0.7,direct,3,23206,1,2,3,552.00,1536.39,520.00,32.00,0.00,20
Chainstore,20,0.7,recursive,1,13900,1,2,3,878.00,1862.55,514.00,60.00,0.00,20
Chainstore,20,0.7,recursive,2,15122,1,2,3,776.00,1762.61,456.00,60.00,0.00,20
Chainstore,20,0.7,recursive,3,13469,1,2,3,862.00,1846.73,517.79,60.00,0.00,20
Chainstore,20,0.7,parallel,1,10986,1,2,3,866.00,1850.56,530.00,60.00,0.00,20
Chainstore,20,0.7,parallel,2,11463,1,2,3,1218.00,2202.95,922.00,472.00,0.00,20
