Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chess,10,0.7,direct,1,433,1,2,3,8.00,20.29,0.00,8.00,0.00,10
Chess,10,0.7,direct,2,483,1,2,3,8.00,20.29,0.00,8.00,0.00,10
Chess,10,0.7,direct,3,482,1,2,3,8.00,20.29,0.00,8.00,0.00,10
Chess,10,0.7,direct,4,450,1,2,3,8.00,20.29,0.00,8.00,0.00,10
Chess,10,0.7,direct,5,432,1,2,3,8.00,20.29,0.00,8.00,0.00,10
Chess,10,0.7,recursive,1,252,1,2,3,44.00,56.29,16.00,28.00,0.00,10
Chess,10,0.7,recursive,2,254,1,2,3,44.00,56.29,16.00,28.00,0.00,10
Chess,10,0.7,recursive,3,255,1,2,3,44.00,56.29,16.00,28.00,0.00,10
Chess,10,0.7,recursive,4,269,1,2,3,44.00,56.29,16.00,28.00,0.00,10
Chess,10,0.7,recursive,5,284,1,2,3,44.00,56.29,16.00,28.00,0.00,10
Chess,10,0.7,parallel,1,204,1,2,3,52.00,64.30,24.00,28.00,0.00,10
Chess,10,0.7,parallel,2,203,1,2,3,52.00,64.30,20.00,32.00,0.00,10
Chess,10,0.7,parallel,3,227,1,2,3,52.00,64.30,20.00,32.00,0.00,10
Chess,10,0.7,parallel,4,203,1,2,3,52.00,64.30,24.00,28.00,0.00,10
Chess,10,0.7,parallel,5,208,1,2,3,52.00,64.30,20.00,32.00,0.00,10
Chess,10,0.7,fft,1,2056,1,2,3,3108.35,3120.64,568.35,2540.00,0.00,10
Chess,10,0.7,fft,2,2193,1,2,3,3112.37,3124.67,572.26,2540.00,0.00,10
Chess,10,0.7,fft,3,2086,1,2,3,3108.29,3120.58,568.20,2540.00,0.00,10
Chess,10,0.7,fft,4,2160,1,2,3,3108.32,3120.61,568.25,2540.00,0.00,10
Chess,10,0.7,fft,5,2160,1,2,3,3096.24,3108.53,560.22,2536.00,0.00,10
Chess,10,0.7,parallelfft,1,1504,1,2,3,3816.39,3828.70,1276.27,2540.00,0.00,10
Chess,10,0.7,parallelfft,2,1593,1,2,3,3812.46,3824.76,1276.30,2536.00,0.00,10
