Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Mushrooms,10,0.7,direct,1,1181,1,2,3,12.00,31.28,0.00,12.00,0.00,10
Mushrooms,10,0.7,direct,2,1294,1,2,3,12.00,31.28,0.00,12.00,0.00,10
Mushrooms,10,0.7,direct,3,1185,1,2,3,12.00,31.28,0.00,12.00,0.00,10
Mushrooms,10,0.7,direct,4,1250,1,2,3,12.00,31.28,0.00,12.00,0.00,10
Mushrooms,10,0.7,direct,5,1196,1,2,3,12.00,31.28,0.00,12.00,0.00,10
Mushrooms,10,0.7,recursive,1,659,1,2,3,76.00,95.28,28.00,48.00,0.00,10
Mushrooms,10,0.7,recursive,2,702,1,2,3,76.00,95.28,28.00,48.00,0.00,10
Mushrooms,10,0.7,recursive,3,692,1,2,3,76.00,95.28,28.00,48.00,0.00,10
Mushrooms,10,0.7,recursive,4,687,1,2,3,76.00,95.28,28.00,48.00,0.00,10
Mushrooms,10,0.7,recursive,5,662,1,2,3,76.00,95.28,28.00,48.00,0.00,10
Mushrooms,10,0.7,parallel,1,597,1,2,3,84.00,103.29,36.00,48.00,0.00,10
Mushrooms,10,0.7,parallel,2,497,1,2,3,84.00,103.29,36.00,48.00,0.00,10
Mushrooms,10,0.7,parallel,3,659,1,2,3,84.00,103.29,36.00,48.00,0.00,10
Mushrooms,10,0.7,parallel,4,568,1,2,3,84.00,103.29,36.00,48.00,0.00,10
Mushrooms,10,0.7,parallel,5,651,1,2,3,84.00,103.29,36.00,48.00,0.00,10
Mushrooms,10,0.7,fft,1,4991,1,2,3,4911.02,4930.31,2680.46,494.56,0.00,10
Mushrooms,10,0.7,fft,2,4966,1,2,3,4910.97,4930.25,2672.61,494.36,0.00,10
Mushrooms,10,0.7,fft,3,5160,1,2,3,4911.07,4930.35,2676.46,494.61,0.00,10
Mushrooms,10,0.7,fft,4,5081,1,2,3,4911.04,4930.32,2680.46,494.58,0.00,10
Mushrooms,10,0.7,fft,5,5058,1,2,3,4911.06,4930.35,2676.47,494.59,0.00,10
Mushrooms,10,0.7,parallelfft,1,3643,1,2,3,4910.37,4929.67,3336.64,501.74,0.00,10
Mushrooms,10,0.7,parallelfft,2,3529,1,2,3,4910.44,4929.73,3352.63,505.81,0.00,10
Mushrooms,10,0.7,parallelfft,3,3839,1,2,3,4910.24,4929.53,3380.63,501.61,0.00,10
Mushrooms,10,0.7,parallelfft,4,3679,1,2,3,4906.32,4925.62,3332.33,505.99,0.00,10
