Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Retail,10,0.7,direct,1,4339,1,2,3,80.00,187.40,68.00,8.00,4.00,10
Retail,10,0.7,direct,2,4450,1,2,3,80.00,187.40,68.00,8.00,4.00,10
Retail,10,0.7,direct,3,4311,1,2,3,80.00,187.40,68.00,8.00,4.00,10
Retail,10,0.7,direct,4,4393,1,2,3,80.00,187.40,68.00,8.00,4.00,10
Retail,10,0.7,direct,5,4311,1,2,3,80.00,187.40,68.00,8.00,4.00,10
Retail,10,0.7,recursive,1,2679,1,2,3,208.00,315.40,176.00,28.00,4.00,10
Retail,10,0.7,recursive,2,2698,1,2,3,208.00,315.40,176.00,28.00,4.00,10
Retail,10,0.7,recursive,3,2707,1,2,3,208.00,315.40,176.00,28.00,4.00,10
Retail,10,0.7,recursive,4,2748,1,2,3,208.00,315.40,176.00,28.00,4.00,10
Retail,10,0.7,recursive,5,2703,1,2,3,208.00,315.40,176.00,28.00,4.00,10
Retail,10,0.7,parallel,1,2278,1,2,3,216.00,323.41,184.00,24.00,8.00,10
Retail,10,0.7,parallel,2,2453,1,2,3,220.00,327.42,184.00,28.00,8.00,10
Retail,10,0.7,parallel,3,2234,1,2,3,216.00,323.45,188.00,24.00,4.00,10
Retail,10,0.7,parallel,4,2363,1,2,3,216.00,323.42,184.00,28.00,4.00,10
Retail,10,0.7,parallel,5,2275,1,2,3,220.00,327.42,184.00,24.00,12.00,10
Retail,10,0.7,fft,1,8539,1,2,3,4942.70,5050.10,210.70,2952.00,376.00,10
Retail,10,0.7,fft,2,8830,1,2,3,4944.90,5052.30,184.90,2952.00,376.00,10
Retail,10,0.7,fft,3,8955,1,2,3,4944.90,5052.30,184.90,2952.00,376.00,10
Retail,10,0.7,fft,4,8557,1,2,3,4943.60,5051.00,211.60,2952.00,380.00,10
Retail,10,0.7,fft,5,8722,1,2,3,4943.61,5051.01,223.61,2952.00,380.00,10
Retail,10,0.7,parallelfft,1,6325,1,2,3,4940.91,5048.32,252.91,2952.00,380.00,10
Retail,10,0.7,parallelfft,2,7409,1,2,3,4924.00,5031.41,728.00,2952.00,380.00,10
Retail,10,0.7,parallelfft,3,6710,1,2,3,4924.92,5032.33,724.92,2952.00,376.00,10
Retail,10,0.7,parallelfft,4,6604,1,2,3,4926.79,5034.20,722.79,2952.00,376.00,10
Retail,10,0.7,parallelfft,5,6585,1,2,3,4929.89,5037.31,725.89,2952.00,376.00,10
Retail,20,0.7,direct,1,4700,1,2,3,84.00,191.40,68.00,12.00,4.00,20
Retail,20,0.7,direct,2,4502,1,2,3,84.00,191.47,68.00,16.00,0.00,20
Retail,20,0.7,direct,3,4633,1,2,3,84.00,191.40,68.00,12.00,4.00,20
Retail,20,0.7,direct,4,4479,1,2,3,84.00,191.40,68.00,16.00,0.00,20
Retail,20,0.7,direct,5,4496,1,2,3,84.00,191.40,68.00,16.00,0.00,20
Retail,20,0.7,recursive,1,2829,1,2,3,224.00,331.40,176.00,40.00,8.00,20
Retail,20,0.7,recursive,2,2908,1,2,3,224.00,331.40,176.00,40.00,8.00,20
Retail,20,0.7,recursive,3,2733,1,2,3,224.00,331.42,176.00,40.00,8.00,20
Retail,20,0.7,recursive,4,2704,1,2,3,224.00,331.45,176.00,40.00,8.00,20
Retail,20,0.7,recursive,5,2761,1,2,3,224.00,331.40,176.00,40.00,8.00,20
Retail,20,0.7,parallel,1,2255,1,2,3,232.00,339.41,184.00,40.00,8.00,20
Retail,20,0.7,parallel,2,2354,1,2,3,232.00,339.41,188.00,36.00,8.00,20
Retail,20,0.7,parallel,3,2317,1,2,3,228.00,335.41,184.00,40.00,4.00,20
Retail,20,0.7,parallel,4,2309,1,2,3,232.00,339.41,184.00,40.00,8.00,20
Retail,20,0.7,parallel,5,2388,1,2,3,236.00,343.44,184.00,40.00,8.00,20
Retail,20,0.7,fft,1,9389,1,2,3,4946.70,5054.10,142.70,3808.00,612.00,20
Retail,20,0.7,fft,2,9387,1,2,3,4945.80,5053.20,141.80,3804.00,612.00,20
Retail,20,0.7,fft,3,9055,1,2,3,4944.00,5051.40,224.00,3808.00,612.00,20
Retail,20,0.7,fft,4,9431,1,2,3,4943.60,5051.00,215.60,3808.00,612.00,20
Retail,20,0.7,fft,5,9427,1,2,3,4944.00,5051.40,216.00,3808.00,612.00,20
Retail,20,0.7,parallelfft,1,6861,1,2,3,4943.63,5051.04,219.63,3808.00,612.00,20
Retail,20,0.7,parallelfft,2,6978,1,2,3,4945.82,5053.23,185.82,3808.00,612.00,20
Retail,20,0.7,parallelfft,3,7393,1,2,3,4944.91,5052.33,172.91,3804.00,612.00,20
Retail,20,0.7,parallelfft,4,6829,1,2,3,4942.73,5050.14,238.73,3808.00,612.00,20
Retail,20,0.7,parallelfft,5,6956,1,2,3,4940.00,5047.41,208.00,3808.00,608.00,20
Retail,30,0.7,direct,1,5084,1,2,3,88.00,195.40,68.00,16.00,4.00,30
Retail,30,0.7,direct,2,4540,1,2,3,88.00,195.40,68.00,16.00,4.00,30
Retail,30,0.7,direct,3,4472,1,2,3,88.00,195.40,68.00,16.00,4.00,30
Retail,30,0.7,direct,4,4575,1,2,3,88.00,195.42,68.00,16.00,4.00,30
Retail,30,0.7,direct,5,4527,1,2,3,88.00,195.40,72.00,12.00,4.00,30
Retail,30,0.7,recursive,1,2906,1,2,3,232.00,339.40,176.00,48.00,8.00,30
Retail,30,0.7,recursive,2,2760,1,2,3,232.00,339.40,176.00,48.00,8.00,30
Retail,30,0.7,recursive,3,2796,1,2,3,232.00,339.40,180.00,44.00,8.00,30
Retail,30,0.7,recursive,4,2754,1,2,3,232.00,339.40,176.00,48.00,8.00,30
Retail,30,0.7,recursive,5,2725,1,2,3,232.00,339.43,176.00,48.00,8.00,30
Retail,30,0.7,parallel,1,2400,1,2,3,240.00,347.41,184.00,48.00,8.00,30
Retail,30,0.7,parallel,2,2393,1,2,3,244.00,351.41,188.00,44.00,12.00,30
Retail,30,0.7,parallel,3,2494,1,2,3,244.00,351.41,184.00,48.00,12.00,30
Retail,30,0.7,parallel,4,2324,1,2,3,240.00,347.41,184.00,48.00,8.00,30
Retail,30,0.7,parallel,5,2429,1,2,3,240.00,347.41,184.00,48.00,8.00,30
Retail,30,0.7,fft,1,9788,1,2,3,4959.98,5067.38,220.00,4340.00,4120.02,30
Retail,30,0.7,fft,2,9634,1,2,3,4959.99,5067.40,214.70,4340.00,4118.71,30
Retail,30,0.7,fft,3,9790,1,2,3,4959.96,5067.36,228.00,4340.00,4120.04,30
Retail,30,0.7,fft,4,9929,1,2,3,4960.00,5067.40,133.80,4340.00,4121.80,30
Retail,30,0.7,fft,5,10124,1,2,3,4956.00,5063.40,215.60,4344.00,4127.60,30
Retail,30,0.7,parallelfft,1,7387,1,2,3,4956.00,5063.41,192.00,4340.00,4116.00,30
Retail,30,0.7,parallelfft,2,7406,1,2,3,4958.00,5065.43,218.72,4340.00,4116.72,30
Retail,30,0.7,parallelfft,3,8106,1,2,3,4956.97,5064.38,248.91,4348.00,4119.94,30
Retail,30,0.7,parallelfft,4,7476,1,2,3,4957.97,5065.47,237.82,4340.00,4107.85,30
Retail,30,0.7,parallelfft,5,8318,1,2,3,4957.03,5064.45,199.64,4340.00,4118.62,30
Retail,40,0.7,direct,1,4853,1,2,3,92.00,199.40,68.00,20.00,4.00,40
Retail,40,0.7,direct,2,4613,1,2,3,92.00,199.40,68.00,20.00,4.00,40
Retail,40,0.7,direct,3,4654,1,2,3,92.00,199.40,68.00,20.00,4.00,40
Retail,40,0.7,direct,4,4625,1,2,3,96.00,203.40,68.00,20.00,8.00,40
Retail,40,0.7,direct,5,4661,1,2,3,96.00,203.40,68.00,20.00,8.00,40
Retail,40,0.7,recursive,1,2830,1,2,3,244.00,351.40,176.00,56.00,12.00,40
Retail,40,0.7,recursive,2,2852,1,2,3,244.00,351.40,176.00,56.00,12.00,40
Retail,40,0.7,recursive,3,2822,1,2,3,244.00,351.40,176.00,56.00,12.00,40
Retail,40,0.7,recursive,4,2844,1,2,3,244.00,351.40,176.00,56.00,12.00,40
Retail,40,0.7,recursive,5,2856,1,2,3,244.00,351.40,176.00,56.00,12.00,40
Retail,40,0.7,parallel,1,2410,1,2,3,252.00,359.47,184.00,56.00,12.00,40
Retail,40,0.7,parallel,2,2406,1,2,3,252.00,359.59,184.00,56.00,12.00,40
Retail,40,0.7,parallel,3,2498,1,2,3,252.00,359.41,188.00,52.00,12.00,40
Retail,40,0.7,parallel,4,2419,1,2,3,252.00,359.41,188.00,52.00,12.00,40
Retail,40,0.7,parallel,5,2487,1,2,3,252.00,359.41,184.00,56.00,12.00,40
Retail,40,0.7,fft,1,10204,1,2,3,4958.12,5065.53,138.70,4744.00,3912.58,40
Retail,40,0.7,fft,2,10457,1,2,3,4960.00,5067.40,196.91,96.91,936.00,40
Retail,40,0.7,fft,3,10449,1,2,3,4960.00,5067.40,139.60,4748.00,3911.60,40
Retail,40,0.7,fft,4,10172,1,2,3,4957.03,5064.43,188.00,98.97,932.00,40
Retail,40,0.7,fft,5,10142,1,2,3,4958.07,5065.47,184.90,94.83,932.00,40
Retail,40,0.7,parallelfft,1,7563,1,2,3,4959.00,5066.42,215.63,88.63,932.00,40
Retail,40,0.7,parallelfft,2,7986,1,2,3,4961.95,5069.37,245.82,87.86,928.00,40
Retail,40,0.7,parallelfft,3,7902,1,2,3,4962.00,5069.46,185.82,87.82,932.00,40
Retail,40,0.7,parallelfft,4,7855,1,2,3,4959.95,5067.36,238.73,90.78,936.00,40
